id	aroE	ddl	gdh	gki	recP	spi	xpt	Sp_cgc_1000
823	6	77	11	1	1	15	72	
824	18	93	12	4	44	14	77	
825	1	8	5	4	5	5	27	
826	7	67	6	9	2	6	1	
827	2	1	8	7	4	6	1	
828	16	33	12	9	1	41	33	
829	20	14	28	1	1	15	14	
830	7	1	11	10	1	6	8	
831	7	1	11	10	1	6	8	
832	7	1	11	10	1	6	8	
833	7	1	11	10	1	6	8	
834	7	1	11	10	1	6	8	
835	7	1	11	10	1	6	8	
836	7	58	13	42	6	10	6	
837	13	19	9	15	14	10	16	
838	7	1	11	10	1	10	8	
839	7	1	11	19	1	6	20	
840	2	65	13	9	1	6	19	
841	4	1	4	2	4	4	1	
842	4	1	4	2	4	4	1	
843	4	1	4	2	4	4	1	
844	7	1	11	10	1	6	8	
845	7	1	11	10	1	6	8	
846	4	1	4	2	4	4	1	
847	4	1	4	2	4	4	1	
848	4	1	4	2	4	4	1	
849	4	1	4	2	4	4	1	
850	7	1	11	10	1	6	8	
851	7	1	11	10	1	6	8	
852	7	1	11	10	1	6	8	
853	13	8	8	13	5	17	4	
854	12	20	8	13	5	16	4	
855	12	20	8	13	5	16	4	
856	12	20	8	13	5	16	4	
857	12	20	8	13	5	16	4	
858	12	20	8	13	5	16	4	
859	12	20	8	13	5	16	4	
860	12	20	8	13	5	16	4	
861	12	20	8	13	5	16	4	
862	12	20	8	13	5	16	4	
863	12	20	8	13	5	16	4	
864	17	28	8	13	5	17	4	
865	7	92	13	42	6	10	6	
866	7	92	13	42	6	10	6	
867	1	6	10	62	10	15	1	
868	5	14	6	1	2	6	1	
869	5	14	6	1	2	6	1	
870	5	14	6	1	2	6	1	
871	5	14	6	1	2	6	1	
872	5	14	6	1	2	6	1	
873	7	14	6	1	2	6	1	
874	7	14	6	1	2	6	1	
875	7	14	6	1	2	6	1	
876	32	14	28	1	1	15	52	
877	32	14	28	1	1	15	52	
878	20	14	28	1	1	15	14	
879	20	14	28	1	1	15	14	
880	20	14	28	1	1	15	14	
881	1	8	5	4	5	5	3	
882	1	8	5	4	5	5	3	
883	1	8	5	4	5	5	1	
884	1	8	5	4	5	5	1	
885	1	8	5	4	5	5	27	
886	1	8	5	4	5	5	27	
887	2	14	5	36	12	17	21	
888	2	14	5	36	12	17	21	
889	2	14	5	36	12	17	21	
890	7	14	14	4	12	1	1	
891	7	8	13	8	6	6	12	
892	7	8	13	8	6	6	12	
893	7	8	13	8	6	3	6	
894	7	8	13	8	6	3	6	
895	10	8	13	8	6	1	6	
896	7	8	13	8	6	1	6	
897	7	8	13	8	6	1	6	
898	7	8	13	8	6	1	6	
899	8	14	14	4	1	1	1	
900	7	14	14	4	1	1	1	
901	7	14	14	4	12	1	20	
902	7	14	14	40	12	1	1	
903	7	14	14	4	12	1	1	
904	7	14	14	4	12	1	1	
905	7	14	14	4	12	1	1	
906	7	14	5	1	1	6	31	
907	1	6	8	4	1	1	4	
908	7	22	15	2	10	6	1	
909	1	24	5	4	5	5	1	
910	10	6	43	41	18	13	49	
911	35	1	5	27	5	1	1	
912	2	1	8	2	4	6	1	
913	4	1	4	2	4	4	1	
914	4	1	4	2	4	4	1	
915	5	4	6	1	2	6	3	
916	4	1	4	2	4	4	1	
917	4	1	4	2	4	4	1	
918	4	1	4	2	4	4	1	
919	5	4	6	1	2	6	3	
920	5	4	6	1	2	6	3	
921	5	4	6	1	2	6	3	
922	5	4	6	1	2	6	3	
923	5	4	6	1	2	6	3	
924	5	4	6	1	2	6	3	
925	5	4	6	1	2	6	3	
926	5	4	6	1	2	6	3	
927	8	53	37	9	29	2	12	
928	15	42	16	19	15	6	20	
929	7	1	11	10	1	36	8	
930	13	14	14	4	12	1	1	
931	13	14	14	4	12	1	1	
932	13	14	14	4	12	1	1	
933	1	14	5	7	12	10	1	
934	1	14	5	7	12	17	1	
935	33	6	1	40	13	6	1	
936	34	14	5	7	12	17	1	
937	37	28	25	4	4	15	20	
938	7	28	25	4	4	10	20	
939	7	14	5	8	5	57	6	
940	7	14	6	1	2	6	71	
941	7	14	1	8	6	10	6	
942	7	14	13	8	6	10	54	
943	7	70	9	15	11	42	1	
944	10	29	20	2	1	6	1	
945	1	17	17	4	16	6	1	
946	7	14	11	10	1	6	73	
947	2	14	5	6	12	16	3	
948	8	8	5	4	5	1	3	
949	8	1	10	2	16	7	26	
950	2	14	13	14	4	17	4	
951	2	1	39	2	4	1	1	
952	8	14	13	14	4	17	62	
953	1	1	5	27	5	1	1	
954	1	31	5	12	5	14	15	
955	1	14	13	14	4	17	51	
956	18	27	5	56	1	9	1	
957	1	32	5	12	5	14	15	
958	8	14	13	14	4	17	1	
959	15	6	38	19	5	36	20	
960	3	6	10	2	5	9	48	
961	18	14	9	4	18	15	1	
962	1	8	5	4	12	5	3	
963	1	8	5	4	5	9	3	
964	1	8	5	1	5	1	1	
965	2	6	5	4	1	15	1	
966	1	8	5	1	15	9	28	
967	15	31	8	8	18	44	1	
968	10	18	8	4	35	6	1	
969	10	14	8	6	35	6	1	
970	10	14	8	41	35	6	1	
971	10	14	8	4	35	6	1	
972	1	17	1	4	1	18	58	
973	2	14	1	18	1	6	53	
974	1	6	51	9	2	6	4	
975	1	6	2	9	2	6	4	
976	1	6	8	9	9	6	58	
977	1	6	5	9	9	6	4	
978	1	6	8	9	2	6	4	
979	7	14	5	1	1	13	31	
980	7	69	13	8	6	10	6	
981	1	14	8	9	1	6	4	
982	8	14	17	46	24	9	55	
983	1	18	2	29	1	43	14	
984	2	18	5	29	5	42	3	
985	5	27	7	4	19	10	40	
986	29	31	33	19	1	36	22	
987	8	71	5	2	27	2	11	
988	8	5	37	9	29	2	47	
989	10	14	13	14	4	17	95	
990	12	14	19	2	17	6	22	
991	18	97	12	4	44	14	77	
992	18	97	12	4	44	14	77	
993	18	97	12	4	44	14	77	
994	7	14	9	19	1	14	48	
995	7	14	9	19	1	14	48	
996	1	5	8	9	2	6	4	
997	1	6	10	9	9	6	4	
998	2	14	1	18	1	6	19	
999	2	14	5	29	12	16	57	
1000	2	8	8	51	41	15	60	
1001	2	17	32	9	47	6	21	
1002	5	7	5	7	5	8	63	
1003	5	27	7	4	10	10	1	
1004	5	27	40	4	1	10	1	
1005	5	11	42	52	1	9	1	
1006	7	14	5	8	5	10	61	
1007	7	14	6	1	2	6	59	
1008	7	14	6	1	2	14	15	
1009	7	14	11	10	4	6	8	
1010	7	14	11	10	1	6	64	
1011	7	73	13	8	6	10	6	
1012	7	14	13	27	6	10	6	
1013	7	28	25	4	4	5	20	
1014	7	28	25	4	4	15	1	
1015	7	18	25	4	4	15	10	
1016	7	28	25	4	4	15	20	
1017	8	1	10	2	16	1	3	
1018	16	14	5	8	5	10	6	
1019	18	14	3	4	18	15	1	
1020	36	14	13	14	4	1	4	
1021	45	1	13	6	12	9	14	
1022	2	14	13	2	1	50	19	
1023	8	8	9	53	8	10	28	
1024	5	27	1	4	2	10	1	
1025	18	6	5	9	1	47	1	
1026	8	6	13	14	4	17	4	
1027	10	8	5	4	5	49	3	
1028	1	8	5	1	1	1	1	
1029	1	14	13	9	1	6	28	
1030	2	14	1	1	1	10	1	
1031	2	14	13	9	1	6	28	
1032	2	14	13	1	1	6	19	
1033	2	14	13	9	1	6	19	
1034	47	17	1	4	1	18	58	
1035	7	9	5	1	1	6	31	
1036	2	14	53	2	1	1	19	
1037	16	17	44	1	16	9	70	
1038	7	14	5	8	48	10	6	
1039	42	18	35	29	36	9	39	
1040	7	28	25	4	2	48	20	
1041	2	27	7	4	16	10	40	
1042	16	17	32	4	5	17	92	
1043	10	14	5	29	12	16	3	
1044	6	14	2	1	1	59	1	
1045	7	14	5	8	5	10	93	
1046	5	27	52	4	1	10	1	
1047	1	6	8	1	2	6	56	
1048	46	22	8	2	10	6	1	
1049	15	14	17	1	2	6	1	
1050	1	6	8	6	2	6	20	
1051	13	6	8	65	1	60	16	
1052	2	14	5	29	12	16	68	
1053	7	14	13	53	6	10	6	
1054	2	14	5	29	12	16	28	
1055	2	14	13	9	2	6	19	
1056	2	14	5	29	12	6	3	
1057	1	6	10	9	1	5	1	
1058	16	72	8	9	1	6	4	
1059	10	9	8	30	5	1	1	
1060	2	1	5	2	4	6	1	
1061	2	14	45	9	1	6	19	
1062	5	18	12	29	12	9	4	
1063	1	17	1	4	1	18	16	
1064	8	17	9	2	1	6	94	
1065	18	6	12	9	1	6	31	
1066	8	6	10	2	5	9	82	
1067	1	6	8	9	2	6	35	
1068	2	1	8	55	4	6	1	
1069	1	8	10	4	1	9	69	
1070	5	27	7	4	19	10	91	
1071	1	17	54	4	1	18	58	
1072	5	27	7	4	49	10	1	
1073	15	31	8	8	18	48	1	
1074	1	17	1	4	1	18	66	
1075	38	82	1	4	2	10	1	
1076	1	18	5	29	1	46	1	
1077	1	19	5	4	12	5	3	
1078	1	6	8	2	2	6	56	
1079	7	14	11	10	2	6	8	
1080	7	14	3	1	5	6	31	
1081	1	74	55	54	18	6	83	
1082	7	1	11	10	1	9	8	
1083	15	8	13	8	42	6	6	
1084	1	8	5	4	5	5	3	
1085	5	6	13	11	4	15	12	
1086	2	14	13	9	1	6	19	
1087	8	14	5	1	8	14	11	
1088	7	8	5	4	5	49	3	
1089	16	17	44	1	16	9	11	
1090	5	14	5	6	1	9	10	
1091	1	8	5	4	4	5	3	
1092	4	1	56	2	4	4	1	
1093	20	14	28	66	1	15	14	
1094	7	5	57	1	2	6	1	
1095	8	26	8	4	15	39	12	
1096	2	75	19	36	12	17	21	
1097	12	96	8	9	3	3	20	
1098	7	1	11	10	1	6	8	
1099	1	17	5	36	1	17	58	
1100	7	8	5	8	6	1	6	
1101	8	14	29	4	1	30	1	
1102	1	8	5	4	5	5	1	
1103	7	14	13	8	6	5	6	
1104	7	14	63	8	6	10	6	
1105	4	1	4	2	4	4	1	
1106	5	4	6	1	2	6	3	
1107	5	4	6	1	2	6	3	
1108	5	4	6	1	2	6	3	
1109	7	14	14	4	12	1	1	
1110	8	14	13	14	4	17	4	
1111	8	14	13	14	4	17	4	
1112	8	14	13	14	4	17	4	
1113	7	8	13	8	6	6	12	
1114	7	8	13	8	6	6	12	
1115	1	6	8	9	1	6	4	
1116	2	89	9	2	1	6	19	
1117	1	5	5	29	10	17	79	
1118	18	8	13	8	6	6	6	
1119	1	5	5	29	10	17	79	
1120	1	17	1	4	34	18	58	
1121	1	17	1	4	1	1	5	
1122	1	18	2	29	18	34	4	
1123	1	18	2	29	18	6	4	
1124	1	18	2	29	18	6	4	
1125	1	29	3	4	7	6	40	
1126	1	76	5	27	5	1	1	
1127	1	14	5	27	24	1	40	
1128	1	27	7	4	19	10	40	
1129	1	6	8	9	1	34	4	
1130	2	14	1	1	1	6	31	
1131	2	6	5	2	1	6	28	
1132	2	76	5	27	5	1	1	
1133	2	14	9	1	11	16	3	
1134	2	14	12	1	11	16	3	
1135	2	1	13	2	4	1	1	
1136	6	14	9	4	10	34	5	
1137	8	17	5	2	1	6	1	
1138	8	34	13	4	8	3	22	
1139	8	14	13	14	23	17	4	
1140	10	1	5	17	13	13	10	
1141	10	27	7	4	2	10	1	
1142	10	29	20	14	1	42	3	
1143	12	6	12	2	5	9	48	
1144	13	17	1	4	1	18	58	
1145	13	31	48	53	17	14	12	
1146	15	1	8	8	5	1	1	
1147	15	31	33	8	18	15	31	
1148	18	1	5	23	18	10	3	
1149	18	27	7	4	19	10	40	
1150	28	14	5	9	18	6	11	
1151	7	15	5	1	1	10	7	
1152	1	18	2	29	1	9	14	
1153	2	31	53	11	1	6	19	
1154	2	14	12	2	16	27	28	
1155	2	91	13	8	1	10	6	
1156	5	14	10	9	43	13	1	
1157	7	18	5	1	5	6	31	
1158	7	14	5	1	5	13	31	
1159	7	91	13	8	1	10	6	
1160	7	91	13	8	1	58	6	
1161	10	15	16	54	1	6	3	
1162	16	14	28	1	1	15	14	
1163	40	14	13	9	1	6	1	
1164	7	1	11	10	1	6	4	
1165	8	1	13	10	1	6	8	
1166	1	14	13	14	4	17	51	
1167	7	102	13	8	1	10	6	
1168	10	94	9	4	1	6	4	
1169	10	31	18	4	1	7	19	
1170	10	1	18	4	1	7	19	
1171	10	9	18	4	1	3	19	
1172	10	94	31	4	1	6	4	
1173	10	94	31	4	1	62	4	
1174	12	20	64	13	5	16	4	
1175	13	14	8	4	1	7	19	
1176	7	14	5	14	8	14	11	
1177	7	14	5	1	8	14	11	
1178	7	14	5	1	8	14	11	
1179	7	14	5	1	8	14	11	
1180	7	14	5	1	8	14	11	
1181	7	14	5	1	8	14	11	
1182	7	14	5	1	8	14	11	
1183	7	14	5	1	8	14	11	
1184	7	14	5	1	8	14	11	
1185	1	8	5	4	5	5	1	
1186	1	8	5	4	5	5	1	
1187	1	8	5	4	5	5	1	
1188	1	8	5	4	5	5	1	
1189	1	8	5	4	5	5	1	
1190	1	8	5	4	5	5	1	
1191	1	8	5	4	5	5	1	
1192	1	8	5	4	5	5	1	
1193	1	8	5	4	5	5	3	
1194	1	8	5	4	5	5	3	
1195	4	1	4	2	4	4	1	
1196	4	1	4	2	4	4	1	
1197	20	9	28	1	1	15	23	
1198	5	4	6	39	2	18	3	
1199	7	1	14	4	12	1	1	
1200	1	8	5	4	5	5	78	
1201	1	18	5	5	5	5	27	
1202	1	101	6	1	2	6	15	
1203	1	6	8	4	1	6	4	
1204	1	6	8	6	1	6	4	
1205	1	83	8	6	2	6	4	
1206	1	95	8	9	2	6	4	
1207	1	6	8	9	10	6	4	
1208	2	14	5	29	45	16	3	
1209	2	1	8	2	12	6	1	
1210	2	1	8	2	4	6	75	
1211	2	1	8	2	4	6	75	
1212	4	1	4	2	4	4	1	
1213	4	1	4	2	4	4	85	
1214	4	78	16	19	15	55	20	
1215	5	18	35	40	12	9	39	
1216	7	21	2	1	1	43	1	
1217	7	21	2	1	1	10	4	
1218	7	21	2	1	1	10	4	
1219	7	21	2	1	1	10	4	
1220	7	14	5	8	6	6	6	
1221	7	20	6	1	2	6	11	
1222	7	84	6	1	6	6	15	
1223	7	14	11	7	1	6	76	
1224	7	98	11	10	1	6	76	
1225	7	98	11	10	1	6	76	
1226	7	14	11	10	1	6	58	
1227	7	14	11	10	1	6	58	
1228	7	14	13	14	4	17	4	
1229	7	14	14	4	12	1	3	
1230	7	1	25	4	4	15	20	
1231	7	21	46	1	1	20	4	
1232	8	14	13	1	4	6	4	
1233	11	75	19	2	17	6	22	
1234	15	26	5	19	15	6	20	
1235	15	26	16	19	15	6	86	
1236	16	33	12	9	1	41	33	
1237	18	14	2	22	16	9	23	
1238	18	14	3	4	1	15	1	
1239	41	14	5	1	8	14	11	
1240	4	1	5	10	18	6	8	
1241	7	103	5	10	18	6	1	
1242	1	19	5	4	4	6	58	
1243	1	14	25	1	8	15	20	
1244	5	18	35	6	12	9	39	
1245	5	18	35	29	12	9	39	
1246	7	99	13	8	6	6	6	
1247	7	14	13	8	6	6	2	
1248	7	6	13	10	5	6	48	
1249	8	1	10	2	1	1	96	
1250	8	14	13	14	4	14	4	
1251	8	14	13	64	4	17	28	
1252	4	1	11	10	1	6	8	
1253	5	1	8	2	4	1	1	
1254	7	98	11	10	1	5	76	
1255	1	28	25	72	1	10	20	
1256	2	18	5	29	16	42	3	
1257	1	8	5	4	5	5	3	
1258	1	6	8	6	2	34	20	
1259	2	14	5	36	12	17	21	
1260	2	14	5	36	12	17	21	
1261	2	62	13	9	16	6	1	
1262	5	7	5	7	7	8	5	
1263	7	79	5	4	1	6	1	
1264	7	14	11	10	1	6	8	
1265	11	75	19	57	17	6	22	
1266	15	14	29	4	21	30	1	
1267	20	14	28	1	1	15	14	
1268	20	14	28	1	1	15	14	
1269	7	104	6	1	17	66	1	
1270	7	14	6	1	8	14	110	
1271	8	14	7	14	4	17	4	
1272	2	14	5	9	1	6	19	
1273	2	14	5	29	23	16	3	
1274	8	14	13	14	4	17	538	
1275	5	14	7	4	49	10	40	
1276	2	1	6	2	4	6	1	
1277	1	1	13	14	4	6	51	
1278	10	1	1	53	18	10	1	
1279	10	6	5	4	1	15	1	
1280	7	98	11	10	1	6	8	
1281	7	14	7	1	8	14	11	
1282	1	28	25	72	1	15	20	
1283	8	14	13	14	4	14	4	
1284	1	67	6	2	9	6	1	
1285	1	105	8	6	2	6	4	
1286	7	67	6	9	12	6	1	
1287	4	8	4	2	5	69	1	
1288	16	18	13	4	4	6	113	
1289	16	18	13	4	4	6	113	
1290	16	18	13	4	4	6	113	
1291	16	18	13	4	4	6	113	
1292	16	18	13	4	4	6	113	
1293	7	14	5	1	8	14	106	
1294	2	1	1	53	18	10	1	
1295	10	6	16	71	1	6	17	
1296	12	20	5	8	5	17	4	
1297	12	14	11	2	6	6	22	
1298	12	14	11	2	6	6	22	
1299	1	18	11	74	10	6	14	
1300	1	18	11	74	10	6	14	
1301	1	18	11	74	10	6	14	
1302	13	110	5	4	10	17	28	
1303	13	110	5	4	10	17	28	
1304	1	5	8	73	47	36	1	
1305	50	5	8	73	47	36	1	
1306	7	1	8	4	53	67	20	
1307	7	1	8	4	53	67	20	
1308	7	1	8	4	53	67	20	
1309	2	111	11	4	5	6	111	
1310	2	111	11	4	5	6	111	
1311	16	6	69	9	12	7	1	
1312	12	1	19	2	5	6	22	
1313	12	14	13	2	17	6	22	
1314	5	113	5	1	5	6	99	
1315	52	14	5	1	8	14	11	
1316	15	106	16	19	15	6	20	
1317	4	112	4	2	4	68	1	
1318	4	1	4	2	54	4	1	
1319	1	109	5	4	5	5	27	
1320	7	21	2	25	29	10	1	
1321	5	18	35	29	1	45	39	
1322	1	47	5	4	11	9	3	
1323	1	47	5	4	11	9	3	
1324	1	16	5	4	11	9	3	
1325	1	47	5	4	11	9	3	
1326	1	47	5	4	11	9	3	
1327	1	47	5	4	11	9	3	
1328	5	31	31	8	1	9	14	
1329	15	14	29	2	21	30	1	
1330	15	14	30	4	21	30	1	
1331	1	8	5	4	5	5	3	
1332	1	8	5	4	5	5	3	
1333	1	8	5	4	5	5	3	
1334	1	8	5	4	5	5	3	
1335	1	8	5	4	5	5	3	
1336	1	6	8	9	9	6	4	
1337	7	6	14	4	12	1	1	
1338	2	14	5	1	11	16	3	
1339	2	1	8	2	4	6	1	
1340	2	1	8	2	4	6	1	
1341	2	1	8	2	4	6	1	
1342	2	1	8	2	4	6	1	
1343	7	1	11	10	1	6	8	
1344	7	14	11	10	1	6	8	
1345	7	14	14	4	12	1	1	
1346	8	17	9	2	1	6	1	
1347	8	17	9	2	1	6	1	
1348	8	1	10	2	16	1	26	
1349	8	1	10	2	16	1	26	
1350	8	1	10	2	16	1	26	
1351	15	14	29	4	21	30	1	
1352	15	17	17	4	16	6	1	
1353	1	14	5	7	12	10	1	
1354	7	8	13	8	6	1	6	
1355	7	8	13	8	6	1	6	
1356	7	70	9	15	11	42	1	
1357	7	70	9	15	11	42	1	
1358	16	17	44	1	16	9	70	
1359	7	8	5	8	6	1	6	
1360	8	14	29	4	1	30	1	
1361	1	14	5	4	5	5	3	
1362	1	8	5	4	51	5	3	
1363	1	8	5	4	51	5	3	
1364	1	8	5	4	12	61	3	
1365	1	17	5	4	8	13	20	
1366	1	14	5	4	1	10	98	
1367	1	18	5	6	12	13	20	
1368	1	28	8	9	18	6	4	
1369	1	28	8	9	18	6	4	
1370	1	6	8	9	2	10	4	
1371	1	6	9	7	1	10	22	
1372	1	1	10	1	16	1	26	
1373	1	1	10	4	16	1	26	
1374	1	8	13	8	6	1	6	
1375	1	5	59	4	1	1	80	
1376	1	5	60	9	1	17	105	
1377	1	14	61	9	8	10	103	
1378	1	14	61	9	8	10	103	
1379	2	1	8	2	4	8	1	
1380	2	1	8	2	16	6	1	
1381	2	14	8	2	4	6	1	
1382	2	44	13	1	1	6	31	
1383	2	44	13	1	1	6	31	
1384	2	6	16	1	15	6	1	
1385	2	18	16	70	8	1	49	
1386	2	14	58	9	12	10	97	
1387	2	14	58	9	12	10	97	
1388	5	6	10	6	1	9	14	
1389	5	14	42	4	39	39	104	
1390	7	19	2	53	12	49	99	
1391	7	6	8	9	2	6	1	
1392	7	18	8	9	1	36	3	
1393	7	18	8	9	1	36	3	
1394	7	18	10	1	2	6	1	
1395	7	14	14	4	12	1	100	
1396	7	14	47	1	37	6	1	
1397	7	80	47	29	37	6	1	
1398	7	14	59	10	1	6	8	
1399	7	74	60	67	5	6	14	
1400	8	9	37	9	12	2	28	
1401	10	6	43	41	18	15	49	
1402	10	6	43	41	18	15	49	
1403	10	6	43	41	18	15	49	
1404	12	14	62	1	2	6	102	
1405	12	14	62	1	2	6	102	
1406	13	14	5	1	50	6	6	
1407	13	7	5	4	5	13	1	
1408	13	7	5	4	5	13	1	
1409	13	14	5	9	50	6	6	
1410	13	14	5	9	50	6	6	
1411	13	14	5	9	50	6	6	
1412	13	18	8	69	1	9	1	
1413	13	9	61	4	52	7	22	
1414	15	9	8	68	18	15	1	
1415	15	26	16	19	5	6	20	
1416	16	33	12	9	1	41	101	
1417	16	33	12	9	1	41	101	
1418	25	14	59	9	1	1	80	
1419	43	74	5	4	10	36	3	
1420	48	14	5	1	11	16	3	
1421	49	6	5	69	1	13	26	
1422	7	14	5	9	18	6	6	
1423	5	7	5	4	5	6	1	
1424	5	14	15	6	1	9	14	
1425	5	7	5	4	43	6	1	
1426	1	8	5	4	11	9	3	
1427	1	5	5	4	5	6	3	
1428	1	5	5	5	5	6	1	
1429	1	5	5	5	5	49	1	
1430	1	5	5	5	5	5	3	
1431	1	6	8	9	1	6	1	
1432	1	8	8	70	2	6	1	
1433	1	5	13	5	5	6	3	
1434	1	6	25	6	2	6	20	
1435	2	5	5	36	12	17	21	
1436	2	28	6	1	2	6	21	
1437	2	20	8	2	4	6	1	
1438	2	1	8	2	4	14	1	
1439	2	1	11	10	1	6	21	
1440	2	14	71	14	4	1	4	
1441	5	14	5	76	5	6	2	
1442	7	14	5	1	1	14	1	
1443	7	1	5	10	18	6	8	
1444	7	8	13	8	6	13	6	
1445	7	115	13	8	6	10	1	
1446	7	14	13	9	1	6	19	
1447	7	114	13	42	6	5	6	
1448	7	114	13	42	6	5	6	
1449	7	14	32	8	12	6	6	
1450	8	18	4	4	1	53	3	
1451	8	20	4	9	8	71	1	
1452	8	18	10	4	1	53	3	
1453	8	14	13	14	4	17	12	
1454	8	6	41	4	1	6	116	
1455	8	6	70	4	1	6	116	
1456	10	31	13	53	1	72	38	
1457	10	28	25	78	5	30	20	
1458	15	26	8	9	2	6	4	
1459	15	14	29	4	21	15	1	
1460	16	6	8	1	2	6	11	
1461	16	33	12	77	1	41	33	
1462	16	19	13	4	4	6	10	
1463	7	14	13	8	6	10	6	
1464	5	14	6	1	2	6	1	
1465	5	14	6	1	2	6	1	
1466	7	28	25	4	5	15	20	
1467	8	6	5	4	15	10	20	
1468	2	29	5	14	1	16	1	
1469	5	27	40	4	19	10	1	
1470	1	6	5	12	5	6	15	
1471	7	18	4	9	5	6	16	
1472	1	18	1	4	1	18	58	
1473	8	6	32	4	18	6	1	
1474	1	17	1	4	243	18	58	
1475	10	31	16	32	1	15	17	
1476	7	14	16	4	8	6	1	
1477	12	6	10	2	5	43	1	
1478	29	21	2	2	50	24	1	
1479	10	5	13	71	1	6	17	
1480	1	17	1	4	1	13	8	
1481	8	17	1	71	43	34	1	
1482	45	14	13	6	12	34	14	
1483	11	17	1	4	1	18	58	
1484	1	14	8	9	2	6	4	
1485	1	1	8	2	4	6	1	
1486	2	14	5	26	11	16	3	
1487	7	14	5	43	8	14	11	
1488	11	5	2	29	18	16	4	
1489	7	90	11	10	1	6	8	
1490	7	14	11	10	1	6	20	
1491	1	9	5	36	3	6	1	
1492	2	18	5	4	10	13	88	
1493	2	14	5	36	55	17	21	
1494	2	14	5	36	55	17	21	
1495	2	107	5	36	3	6	1	
1496	5	118	5	4	1	6	1	
1497	6	8	9	4	5	70	1	
1498	7	8	5	4	3	9	6	
1499	7	14	11	4	1	6	112	
1500	7	14	11	4	1	6	112	
1501	7	8	13	8	5	9	6	
1502	10	5	43	9	10	15	1	
1503	13	15	65	10	1	15	1	
1504	13	15	65	10	1	15	1	
1505	13	15	65	10	1	15	1	
1506	16	5	5	36	3	9	1	
1507	16	5	9	75	3	9	115	
1508	16	14	13	4	18	6	108	
1509	51	108	66	1	1	6	1	
1510	10	14	32	19	1	6	14	
1511	8	8	13	14	4	6	4	
1512	10	2	41	79	16	6	14	
1513	1	1	5	2	20	1	1	
1514	2	26	16	19	28	6	5	
1515	2	8	2	54	5	5	26	
1516	40	1	11	10	1	6	8	
1517	276	8	5	4	5	5	20	
1518	7	22	15	2	10	9	1	
1519	1	1	5	27	8	14	1	
1520	7	26	11	19	15	6	8	
1521	7	1	11	10	29	6	58	
1522	10	14	1	18	1	6	19	
1523	1	18	5	4	5	13	10	
1524	2	14	1	18	5	6	19	
1525	7	14	5	1	6	14	11	
1526	1	18	8	4	12	6	3	
1527	1	18	8	4	12	6	3	
1528	1	1	16	19	15	6	20	
1529	4	1	4	19	4	4	1	
1530	4	26	16	4	15	6	20	
1531	4	26	16	4	15	6	20	
1532	7	5	62	1	2	6	20	
1533	8	31	8	4	15	17	12	
1534	8	14	13	14	4	6	4	
1535	10	17	13	4	16	6	1	
1536	11	14	19	2	17	6	22	
1537	11	14	19	2	17	6	22	
1538	15	26	16	4	15	6	1	
1539	15	14	29	4	16	30	1	
1540	15	14	29	4	16	30	1	
1541	15	14	29	19	16	30	1	
1542	20	14	28	1	1	10	14	
1543	22	14	16	4	15	6	20	
1544	10	31	13	34	10	77	28	
1545	1	8	5	4	5	5	3	
1546	1	8	5	4	5	5	3	
1547	1	8	5	4	5	5	3	
1548	1	14	12	4	16	31	1	
1549	1	14	12	4	16	31	1	
1550	1	14	12	4	16	31	1	
1551	2	42	13	9	15	6	19	
1552	4	1	4	2	4	4	1	
1553	4	1	4	2	4	4	1	
1554	4	1	4	2	4	4	1	
1555	4	1	4	2	4	4	1	
1556	4	1	4	2	4	4	1	
1557	4	1	4	2	4	4	1	
1558	4	1	4	2	4	4	1	
1559	4	1	4	2	4	4	1	
1560	4	1	4	2	4	4	1	
1561	4	1	4	2	4	4	1	
1562	4	1	4	2	4	4	1	
1563	4	1	4	2	4	4	1	7
1564	4	1	4	2	4	4	1	
1565	4	1	4	2	4	4	1	
1566	4	1	4	2	4	4	1	
1567	4	1	4	2	4	4	1	
1568	4	1	4	2	4	4	1	
1569	4	1	4	2	4	4	1	
1570	4	1	4	2	4	4	1	
1571	4	1	4	2	4	4	1	
1572	4	1	4	2	4	4	1	
1573	4	1	4	2	4	4	1	
1574	4	1	4	2	4	6	1	
1575	4	1	4	2	4	6	1	
1576	5	4	6	33	2	6	3	
1577	5	4	6	33	2	6	3	
1578	7	1	11	10	1	6	1	
1579	7	1	11	10	1	6	1	
1580	7	1	11	10	1	6	1	
1581	8	1	10	2	16	1	26	
1582	15	26	16	19	15	6	20	
1583	15	26	16	19	15	6	20	
1584	15	26	16	19	15	6	20	
1585	15	26	16	19	15	6	20	
1586	15	26	16	19	15	6	20	
1587	15	26	16	19	15	6	20	
1588	15	26	16	19	15	6	20	
1589	15	26	16	19	15	6	20	
1590	15	26	16	19	15	6	20	
1591	15	26	16	19	15	6	20	
1592	15	26	16	19	15	6	20	
1593	15	26	16	19	15	6	20	
1594	15	26	16	19	15	6	20	
1595	15	26	16	19	15	6	20	
1596	15	26	16	19	15	6	20	
1597	15	1	16	19	15	6	20	
1598	15	1	16	19	15	6	20	
1599	25	44	31	4	16	32	28	
1600	15	14	29	4	21	30	1	
1601	22	14	16	19	15	6	20	
1602	22	14	16	19	15	6	20	
1603	22	14	16	19	15	6	20	
1604	4	26	16	19	15	6	20	
1605	4	26	16	19	15	6	20	
1606	15	50	16	19	15	6	20	
1607	15	50	16	19	15	6	20	
